year_month,수소이온농도표층,수온(℃)표층,염분표층,용존산소량(㎎/L)표층,클로로필A(㎍/L)표층,bluecarbon_area_km2,수소이온농도표층_scaled,수온(℃)표층_scaled,염분표층_scaled,용존산소량(㎎/L)표층_scaled,클로로필A(㎍/L)표층_scaled,bluecarbon_scaled
2015-02-01,8.15,3.654,31.984,10.631,1.182,1189.3964,0.6353926096997711,0.0522126573517324,0.9356259014651228,0.7946156451066715,0.1971921277004936,0.570699301651274
2015-05-01,8.161,10.569,31.784,9.986,2.735,1189.0415,0.6607967667436476,0.3513431673660077,0.81416533819176,0.6854046732136811,0.5954227835117636,0.5223866374440149
2015-08-01,8.015,22.965,31.651,7.389,2.011,1188.6747,0.3236143187066957,0.8875719167712072,0.7333940636149698,0.2456823569251609,0.4097698570421181,0.47245402197145836
2015-11-01,8.05,17.258,32.074,8.147,0.953,1188.3079,0.4044457274826811,0.6406973223169095,0.9902831549381332,0.3740264138164579,0.1384704147701775,0.4225214064988734
2016-02-01,8.179,4.034000000000001,32.037,11.436,1.011,1187.9411,0.7023672055427248,0.068650776484838,0.9678129507325616,0.930917710802574,0.1533431630232707,0.3725887910262884
2016-05-01,8.128,11.835,31.849,8.887,1.428,1187.5822,0.5845842956120073,0.4061080590041959,0.8536400212556003,0.4993227226549273,0.26027309442913,0.3237316053853192
2016-08-01,8.001999999999999,22.969,31.45,7.220000000000001,2.984,1187.2154,0.2935912240184706,0.8877449496041874,0.6113261975252406,0.2170673890958347,0.6592730303224565,0.2737989899127342
2016-11-01,8.084999999999999,16.657,32.034000000000006,7.5,0.413,1186.8486,0.4852771362586559,0.6146991391616559,0.9659910422834664,0.2644768032509312,0.0,0.22386637444017765
2017-02-01,8.158,4.736,32.09,10.314,0.4439999999999999,1186.4817,0.6538683602771336,0.0990180386728381,1.0,0.7409414155096514,0.0079492275145842,0.17392014593175986
2017-05-01,8.129000000000001,12.083,31.999,9.857,2.79,1186.1269,0.5868937644341834,0.4168360946489595,0.9447354437106236,0.6635624788350829,0.6095262516828002,0.12562109476033356
2017-08-01,8.043,23.603,31.411,7.623,1.5550000000000002,1185.76,0.3882794457274805,0.9151706536315266,0.5876413876869364,0.2853030816119202,0.2928392845695238,0.07567486625191577
2017-11-01,8.163,13.294999999999998,31.787,8.77,1.178,1185.3932,0.6654157043879927,0.4692650430419171,0.8159872466408586,0.4795123603115476,0.1961664209244182,0.02574225077935921
2018-02-01,8.198,2.447,31.812,10.411,0.424,1185.2041,0.7462471131639745,0.0,0.8311698170500286,0.7573653911276668,0.0028206936342073,0.0
2018-05-01,8.046,10.521,31.532,7.640000000000001,2.47,1185.3594,0.3952078521939945,0.349266773370247,0.6611250284673211,0.2881815103284797,0.527469709596769,0.021141044664375386
2018-08-01,8.11,23.321,31.371,8.568000000000001,1.52,1185.52,0.5430138568129301,0.9029718389064324,0.5633492750322624,0.4453098543853711,0.283864350278864,0.04300358022842943
2018-11-01,7.965999999999999,16.034,31.368,7.753,0.917,1185.6806,0.2104503464203198,0.5877492754250118,0.5615273665831637,0.3073145953267864,0.1292390537854991,0.06486611579248347
2019-02-01,7.951,4.096,31.574,10.355,1.7100000000000002,1185.8412,0.1758083140877602,0.0713327853960288,0.6866317467547276,0.7478835082966477,0.3325854221424451,0.08672865135653751
2019-05-01,8.096,9.997,31.622000000000003,9.979,1.213,1185.9965,0.5106812933025395,0.3265994722498594,0.715782281940335,0.6842194378598037,0.2051413552150778,0.1078696960209129
2019-08-01,8.076,22.579,31.474,7.872,3.775,1186.1571,0.4644919168591244,0.8708742483886317,0.6259014651180443,0.3274635963427024,0.8621065452913649,0.12973223158496694
2019-11-01,8.032,17.703,31.758,7.962000000000001,1.983,1186.3177,0.3628752886836004,0.6599472249859409,0.7983754649662202,0.3427023366068407,0.4025899096095903,0.15159476714902098
2020-02-01,8.096,5.768,31.717,10.279,1.3,1186.4782,0.5106812933025395,0.1436605095816931,0.7734760494951836,0.7350152387402642,0.2274504775947176,0.17344368967724222
2020-05-01,8.040000000000001,12.141,31.692,9.378,2.441,1186.6353,0.38135103926097,0.4193450707271704,0.7582934790860101,0.5824585167626144,0.5200333354702225,0.19482976898677862
2020-08-01,7.93,21.89,30.44337500000001,7.182,1.241,1186.7959,0.1273094688221689,0.8410693429078167,0.0,0.210633254317643,0.2123213026476056,0.21669230455086108
2020-11-01,8.098,15.404,30.858,8.297,1.271,1186.9565,0.5153002309468846,0.5604966042306527,0.2518029302360851,0.3994243142566882,0.220014103468171,0.2385548401148867
2021-02-01,8.054,3.746,31.164,11.844,1.5870000000000002,1187.117,0.4136836027713606,0.0561924125102738,0.4376375920443287,1.0,0.3010449387781269,0.26040376264310794
2021-05-01,8.042,11.424,31.069,10.292,1.389,1187.2724,0.3859699769053115,0.388328935415495,0.3799438244894837,0.7372163901117508,0.250272453362395,0.28155842034331613
2021-08-01,7.874875,23.297,31.307,5.938000000000001,1.088,1187.433,0.0,0.901933641908552,0.5244818947847847,0.0,0.173088018462722,0.30342095590737017
2021-11-01,7.874875,15.085,31.329,8.23,1.016,1187.5935,0.0,0.546697235800493,0.5378425567448559,0.3880799187267187,0.1546252964933649,0.3252698784355914
